date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2017-12-05,0.029630147,0.23870744,0.06105314,0.011187118,0.46096167,0.19846047,0.054866930120762006,0.32567948228575094,0.0303960147870845,0.013512778795917882,0.3619084066886894,0.2136363754759662,1.940597,12
2017-12-06,0.013382337,0.29999402,0.026194505,0.05110608,0.4381252,0.17119785,0.012199832284802418,0.252070939897115,0.02990039338393329,0.057014413020562205,0.47763060725219414,0.1711837876460026,1.9188181,9
2017-12-07,0.01918894,0.375825,0.020339603,0.12908314,0.28737983,0.16818354,0.02275650862213454,0.4750987088131162,0.023002262319941888,0.16102835358970588,0.252083937126963,0.06603026875854048,2.085161,8
2017-12-08,0.024074905,0.56437737,0.018201547,0.029438654,0.2469324,0.11697508,0.02466752925532328,0.528925170130407,0.019901977145926807,0.032882115261763885,0.27561945072898336,0.1180036974216411,1.7105135,6
2017-12-09,0.009084834,0.023086643,0.046278875,0.040341567,0.742523,0.13868506,0.00789539023591079,0.018596287426943033,0.05434800583163642,0.01515826319278138,0.844648530314593,0.05935348423834992,1.293333,6
2017-12-10,0.013600518,0.22488308,0.10402892,0.018271552,0.48774752,0.15146843,0.013724575574117706,0.08435798233330864,0.05295202585933832,0.02764668712566382,0.7216370288654174,0.09968171236786873,1.9312376,6
2017-12-11,0.021194013,0.49909994,0.020287938,0.03912873,0.25000426,0.1702851,0.02280250283911146,0.5105490073829312,0.02208446380023603,0.05315383738732477,0.2130422492423208,0.17836792570090831,1.8501819,9
2017-12-12,0.012443391,0.1831549,0.10592004,0.036759164,0.5744128,0.08730974,0.011321899501623057,0.1812691657868872,0.14595924498217938,0.04270223150030962,0.49423032691713664,0.12451716893417487,1.8120931,12
2017-12-13,0.028476441,0.35059243,0.046379033,0.07295211,0.38501582,0.116584174,0.01972521649314206,0.35760089120063027,0.027866353175822763,0.08657420308636016,0.3292192435745497,0.17901410410887283,2.049,16
2017-12-14,0.040536318,0.24223362,0.052812397,0.07122411,0.4952568,0.09793672,0.024009323696604166,0.26162582344161633,0.06041712845189258,0.11709741921905444,0.45762243748694487,0.07922786756655918,2.0088654,12
2017-12-15,0.016262997,0.37133986,0.02650274,0.13113984,0.3282994,0.12645514,0.014221764989536092,0.29086294474200663,0.017404896819133223,0.21040524897030852,0.2597003378353972,0.2074047539570202,2.055318,10
2017-12-16,0.031449646,0.6172768,0.021176087,0.023535935,0.24893516,0.057626456,0.03374008948340015,0.5614474604158732,0.025303300024732103,0.02701829800124427,0.30721290157462844,0.04527801012830073,1.5683237,4
2017-12-17,0.018393999,0.32290044,0.0182581,0.02022787,0.3435782,0.27664134,0.022699940944997433,0.41730115176869265,0.02454150474844098,0.026649570691331524,0.44906332224021245,0.059744489167547654,1.8943338,3
2017-12-18,0.040458262,0.37005386,0.042059984,0.016427876,0.43554458,0.09545544,0.06312960355797104,0.3868356546524368,0.036204873335206306,0.015490288081924639,0.3539182852845534,0.14442130798562527,1.8533652,10
2017-12-19,0.013404232,0.20971091,0.031479992,0.016018918,0.5145847,0.21480124,0.013192117834701192,0.058139443803724135,0.030991606147982027,0.01798905423541019,0.5544359930484346,0.3252517839954534,1.7784516,5
2017-12-20,0.02763662,0.16729884,0.05454512,0.038735468,0.645639,0.066144995,0.036096255474436026,0.22406832935172333,0.03879114186901822,0.04907378846957745,0.5706554211626005,0.0813150792727195,1.651899,6
2017-12-21,0.008575307,0.14677745,0.029069874,0.009082244,0.49502817,0.31146693,0.005384945746412974,0.030735100566318414,0.036156357113794044,0.007970500924418209,0.5543102063711178,0.36544285783721264,1.7015,8
2017-12-22,0.01161646,0.18091577,0.023575673,0.014958885,0.550775,0.21815819,0.012300916536858376,0.2506240594653794,0.016227360684266317,0.014266791468209557,0.3964470747838618,0.31013378303089284,1.6921911,6
2017-12-23,0.00871838,0.108443916,0.059790343,0.011209637,0.628127,0.18371075,0.010213332101714436,0.17083657528428833,0.07401581409721161,0.009725619898045827,0.5291567571707396,0.20605187861773916,1.5932944,5
2017-12-24,0.0075301547,0.035260513,0.010675659,0.22017466,0.21539885,0.51096016,0.00992024414177559,0.046571820148951,0.010868362889186958,0.39535291963276764,0.17048085005749375,0.3668057919905395,1.7459613,4
2017-12-25,0.008641452,0.041284356,0.03472317,0.1420754,0.4754172,0.29785842,0.01026219274698502,0.05348553351281647,0.018144901503996717,0.2112440069071875,0.2535840733049242,0.45327929855889515,1.847831,5
2017-12-26,0.009621508,0.14165041,0.044272203,0.011384963,0.580229,0.21284194,0.007243154475512636,0.030404837835307796,0.04944659402192261,0.01003512551831533,0.5800415560395009,0.3228287230125566,1.6672292,7
2017-12-27,0.01170704,0.17335849,0.026686318,0.015286056,0.5886278,0.18433431,0.011962481736846185,0.1953940803836318,0.03318394792171465,0.02249751471036583,0.5271545376546993,0.20980741767412914,1.6448584,16
2017-12-28,0.009273956,0.051625002,0.049175978,0.057802908,0.7089621,0.12316006,0.009888550832644534,0.06272302610307116,0.0574727388520801,0.07143778383800142,0.6693571797969688,0.12912064628330386,1.4587176,8
2017-12-29,0.011356537,0.17283861,0.02968806,0.14574775,0.40730768,0.23306136,0.010864729509475117,0.23788384001789734,0.02160255857987809,0.034973104439783395,0.31965848630972904,0.3750172745745064,2.084177,10
2017-12-30,0.015641998,0.5358396,0.019854376,0.01540829,0.34994093,0.06331479,0.01987809627640142,0.767722489773483,0.01202771729294574,0.01672681566216157,0.10990037625840741,0.07374447452944094,1.5633483,3
2017-12-31,0.020533102,0.20832773,0.14564593,0.22999726,0.18740739,0.20808858,0.014953781434382772,0.4184203437891119,0.025229088889865806,0.059348414538453534,0.0669407253316201,0.4151076417492987,2.4030447,4
2018-01-01,0.0064711906,0.023063174,0.032507084,0.0084844185,0.8291333,0.10034089,0.0064711906015872955,0.0230631735175848,0.03250708431005478,0.008484418503940105,0.8291332721710205,0.10034088790416718,0.9485147,1
2018-01-02,0.011375532,0.20235638,0.01609679,0.17025448,0.23354498,0.36637184,0.008486089193228652,0.05800795930609798,0.0053657196104826815,0.023054164500104054,0.09482279310818117,0.8102632582127962,2.0914235,5
